talk_id,title,abstract,type,session
1,Species Richness and Genetic Diversity: Continental Patterns of Bird Diversity Correlations Across the United States,"Abstract: Species richness (SR) and genetic diversity (GD) are fundamental aspects of biodiversity. Each plays a unique role in maintaining ecosystem stability. Literature suggests that species richness and genetic diversity may be spatially correlated and co- vary at different scales. However, research on SR×GD correlations remains equivocal. Some studies find positive correlations between SR and GD, whereas others report negative or no correlation. Understanding relationships between SR and GD is fundamental to elucidating the complex dynamics of biodiversity maintenance considering ongoing climate change and anthropogenic land use intensification. Using data synthesis and meta-analysis, we explored spatial correlations between bird SR and GD among species across the continental United States. Using Bird Banding Station (BBS) data, we estimated species richness, rarity weighted richness, and Shannon’s diversity across >3,800 BBS routes from 2013 to 2022. We then used spatial statistics in ArcGIS to identify regional hotspots in bird SR. Next, we performed a detailed meta- analysis of published literature across approximately 200 papers for estimates of bird GD. We estimated hotspots of GD using the published accounts of bird GD with mapped sample locations. Using Multiple Response Permutation Procedure, we found that several areas of bird GD significantly overlapped areas of bird SR. Geographically Weighted Regression analysis identified areas where bird SR significantly predicts bird GD, which were concentrated along coastal areas of the eastern US. These areas may be critical targets for protection, as they seem to be areas that support diversity across multiple scales important to maintaining the future adaptive potential of wildlife.",oral,Cottam Awards Competition
2,Using Apple Airtags to Track Urban Raptors,"Abstract: Accurate tracking of the movement of wildlife is important for understanding the behavior, spatial use, and resource selection of a species. We evaluated the effectiveness of Apple Airtags, a Bluetooth tracking device that can be purchased for US $22.50-$29.00, for tracking Harris's Hawks in the Rio Grande Valley, Texas. We tagged eleven urban hawks with Airtags, and we have been tracking their movements for over 9 mo. Airtags have yielded 1,448 locations (approximately 132 locations per hawk) with all Airtag data being collected remotely at a cost of $0.25 per location. We recorded juvenile dispersal and exploratory movements for all six juveniles tagged, and one adult dispersal. Average juvenile exploratory foray distance was 9.65 km (range: 2- 50.05) and the adult dispersed 48.8 km. We also analyzed home range using the Kernel Density Estimation (KDE) method. For the ten Harris’s Hawks equipped with Airtags that provided sufficient data for analysis (>25 locations), we estimated a 95% KDE home range of 389.4 ha for five adults and 133.5 ha on average for nine juvenile natal and dispersal territories. Core 50% KDE home ranges yielded an adult range of 47.7 ha and juvenile ranges averaging 40.3 ha. We conclude that Apple Airtags can be used for tracking urban wildlife, allowing analysis of home range areas and spatial use patterns. Despite limitations such as reliance on proximity to Apple devices and finite battery life, Airtags offer a low-cost alternative for researchers working with medium-sized and large species in areas with human activity.",oral,Cottam Awards Competition
3,Addressing Assumptions of Nonlethal Monitoring of Microplastic Contamination in Nestling House Sparrows,"Abstract: Microplastics (MPs) are an emerging pollutant with growing concern for their effect on wildlife health; however, songbirds remain understudied. As many songbirds are experiencing declines across the U.S., nonlethal methods of evaluating MP contamination warrant consideration. We conducted a study on house sparrows (Passer domesticus) from 3 study sites in Stephenville, Texas, Fargo, North Dakota, and Easton, Pennsylvania in 2023 and 2024. Our objectives were to evaluate the use of fecal sacs for MPs as an alternative to lethal methods and to address two potential assumptions for studies using fecal sacs, those being variation in MPs across nestling development and variation within broods. We collected fecal samples and GI tracts from nestlings aged 10 days. To examine assumptions, we collected fecal samples from the same nestlings at age 4 days and 10 days, and we collected fecal samples from all nestlings in broods with ≥3 nestlings. We processed all samples to chemical digestion using 30% H2O2, vacuum filtration, and examination under a stereomicroscope. We found that 74.1% of fecal samples contained MPs (n = 321) and all GI tracts samples contained MPs (n = 16), but they were not correlated. We found little difference in contamination across development. We conducted an intra-class correlation test (repeatability score; R package rptR) and determined that variation within brood is high (R = 0.151, P = 0.036). This study on house sparrows, a model species, informs future MP research and provides a broader insight into the abundance of MPs in songbirds.",oral,Cottam Awards Competition
4,"Conflict, Conservation, and Coexistence: Texans’ Views on Mountain Lions","Abstract: Large carnivores like mountain lions (Puma concolor) often evoke intense emotions due to their involvement in livestock predation, human attacks, and generating fear. Managing these predators is particularly challenging due to diverse stakeholder interests in wildlife conservation. While mountain lions are classified as ""least concern"" by the IUCN, their population status varies regionally. Texas, which hosts an estimated 7% of the U.S. mountain lion population, may overestimate numbers due to their nongame status, unregulated harvesting, and high mortality rates, raising conservation concerns. To address these challenges, a Qualtrics survey of 1,069 Texans assessed their knowledge, attitudes, and preferences toward mountain lion management. Participants included hunters, livestock producers, and urban and rural residents. Results showed 43% viewed mountain lions as rare but not endangered in Texas, while 31% correctly identified them as nongame animals without hunting restrictions. Over half (52%) had heard of mountain lion-human interactions; 27% reported personal sightings, and 22% noted household encounters. Livestock like sheep, goats, deer, and cattle were seen as most at risk. Respondents agreed mountain lions are vital to ecosystems (mean score: 4.0) and expressed support for their survival (3.93), with moderate endorsement for protection (3.63), monitoring (3.70), and management planning (3.61). Lethal control was supported after attacks on humans (41%), pets (37%), or livestock (33%), with hunters and producers favoring aggressive responses. Rural residents generally supported stronger actions than urban residents. These findings emphasize the need for inclusive policies to balance conservation and coexistence with mountain lions.",oral,Cottam Awards Competition
5,Population Structure of Alligator Snapping Turtles Along a Fishing Pressure Gradient,"Abstract: Passive fishing gear (e.g., trotlines, limblines, juglines) is a prominent threat to the alligator snapping turtle (Macrochelys temminckii). However, this threat has yet to be quantified in Texas. Our goal was to quantify the density and persistence of passive fishing gear in east Texas streams, as well as to quantify demographic parameters of M. temminckii in sites that vary in passive fishing pressure. We surveyed for passive fishing gear and M. temminckii at three east Texas sites: Alazan Bayou Wildlife Management Area (unfished), Attoyac River (fished), and Shawnee (fished) from June 2023–August 2024. We found a total of 84 passive fishing devices at Attoyac and 67 at Shawnee, with 92.9% and 83.6% appearing abandoned, respectively. No devices had legal gear tags. Seasonal density estimates of passive fishing gear were highest in Fall 2023 but declined by Summer 2024. Detection probabilities of passive fishing gear decreased with time, river discharge, and gage height but increased with precipitation. Catch per unit effort (CPUE) of M. temminckii from hoop nets and acoustic receivers was highest at Alazan, compared to Attoyac and Shawnee. The demographic structure of M. temminckii at Alazan, unlike Attoyac and Shawnee, appears to be similar to that of robust M. temminckii populations (e.g., higher proportion of adults than juveniles, near equal sex ratio). Given the potential impacts of passive fishing gear on M. temminckii populations, management efforts should prioritize the removal of these abandoned devices, especially during periods of low river discharge and gage height.",oral,Cottam Awards Competition
6,Migratory Patterns of the Orange-crowned Warbler Wintering in Central Mexico and southern United States,"Abstract: Migration is a crucial strategy for many avian species, allowing them to access optimal resources despite significant energy costs and predation risk. The Orange-crowned Warbler (Leiothlypis celata) is a small migratory songbird that breeds across Canada and western United States. This species is known to migrate southward for the winter, with large populations wintering in Central Mexico and the southern United States. However, little is known about the geographic origins of these wintering populations, as multiple breeding populations may converge on these shared wintering grounds. We investigated the migratory connectivity of the Orange-crowned Warblers using hydrogen stable isotope (δ²H) extracted from feathers of individuals captured at wintering sites in Mexico and the southern United States. We implemented a Bayesian approach to identify individual geographic origins, revealing diverse breeding grounds across the northern region of North America. Additionally, we used morphometric measurements, including mass, wing chord, and tail length from long-term banding data from the Lower Rio Grande Valley in south Texas to confirm the subspecies. The morphometric data suggest that two subspecies, L.c.celata and L.c.orestera utilize this region during winter, with L. c. celata being more prevalent. These findings provide key insights into the timing, distribution, and winter behavior of Orange-crowned Warblers, improving our understanding of their migratory patterns and their response to environmental change.",oral,Cottam Awards Competition
7,Plasticity and Peril: Niche Adaptations of Desert Bighorn Sheep Facing Competition and Disease,"Abstract: Desert bighorn sheep (Ovis canadensis nelsoni) co-occur with invasive aoudad (Ammotragus lervia) in Trans-Pecos, Texas. Research has demonstrated that aoudad and desert bighorn niches overlap in optimal habitat, raising concern about disease transmission risk and potential for competition. It is essential to understand how desert bighorn niches may shift in the face of competition, particularly as we seek to manage populations in a disease landscape. I explored variation in niche breadth, position and configuration among seven desert bighorn populations and 12 population years in the Trans-Pecos to determine whether desert bighorn exhibit niche plasticity. The populations had significant variation in niche size, the difference in niche volume between the largest and smallest niche (BGWMA and BBRSP respectively) was log(D) = 19.64. BBRSP:Diablos had the smallest distance between niche centroids (MD =0.51), the farthest distance between centroids was EMWMA:Diablos (MD = 5.23). Niche dissimilarity was greatest between EMWMA:Diablos (BD =11.42) and smallest between BBRSP:Diablos (BD = 1.44). BGWMA individuals had the greatest average distance from the population centroid (MD, m = 4.86, σ = 4.52), and Diablos the smallest (MD, m = 4.37, σ = 2.10). Individuals with greater distance from their population centroid had a higher risk of death (b = 0.209, p = 0.0000443). These results suggest constrained potential for desert bighorn to respond to aoudad competition via niche shifting and provide a framework for predicting how niche partitioning may result in shifts in desert bighorn sheep geographic distributions, social structure, and consequent changes in disease risk. Abstracts: General Sessions Conservation & Ecology of Mammals I Pioneer I, February 20, 2025 Moderator: Austin Killam",oral,Cottam Awards Competition
8,Spatial Interactions of Axis and White-tailed Deer in the Edwards Plateau Ecoregion of Texas,"Abstract: Axis deer (Axis axis) are a free-ranging, exotic species of ungulate in Texas with a similar ecological niche as native white-tailed deer (Odocoileus virginianus). Axis deer, which are considered livestock rather than game animals, persist on private lands in Texas primarily because of their year-round hunting value which generates significant economic benefits for landowners. The co-occurrence of axis and white-tailed deer may lead to competition for resources. Increasing abundance in free-ranging populations of axis deer poses ecological concerns regarding dietary overlap, habitat degradation, and displacement of native species. White-tailed deer, which contribute billions of dollars annually to the Texas economy through hunting and management activities, are particularly vulnerable to competition for forage and space availability. This study aims to quantify the spatial and temporal interactions between axis and white-tailed deer using data collected by GPS Iridium collars attached to 15 white-tailed deer and 10 axis deer on a private property (3415.03 ha) located in the Edwards Plateau ecoregion. We will assess the home range, habitat preferences, and spatial overlap between the two species using Kernel Density Estimation (KDE) and Resource Selection Function (RSF) modeling to evaluate competition between the species. Our findings will guide management decisions to mitigate competition between the species and help balance economic interests with conservation goals.",oral,Conservation & Ecology of Mammals I
9,Seasonal Dynamics of Browse Nutritive Value in the Southern Cross Timbers and Prairies of Texas,"Abstract: In the Southern Cross Timbers and Prairies Region of Texas, white-tailed deer (Odocoileus virginianus) are a recreationally and economically valuable resource. As selective browsers, white-tailed deer consume diets with greater forage value than the surrounding vegetation. During winter and drought periods, browse can become the primary food source, but nutritive value and availability varies among and within growing seasons and years. To better understand browse nutritive value year-round, browse samples were collected bimonthly from a ranch located near Cross Plains, TX starting in May 2023. Browse samples of six different species (chittamwood, elbowbush, winged elm, post oak, live oak, and skunkbush) were collected from two different ecological sites, loamy bottomland, and clay loam. Nutritional constituents of browse samples were determined, including crude protein, neutral detergent fiber, acid detergent fiber, lignin, and protein precipitable phenolics (PPP). Ruminal digestibility was estimated using in vitro true digestibility methodology (IVTD). Both IVTD and crude protein had a significant month effect (P < 0.01). Browse IVTD differed during periods of growth and dormancy with the greatest digestibility and least fibrous constituents in the spring and summer. Additionally, the three species with the highest concentrations of PPP, skunkbush, live oak, and post oak, were also assessed to determine the effect of varying PEG inclusion rates on IVTD. Results indicated a trend of increased digestibility with the addition of PEG, particularly for fibrous components. This could be due to seasonal alteration in carbohydrate form and availability and/or the effect of PPP on the associated rumen microbiome.",oral,Conservation & Ecology of Mammals I
10,Competition With Wild Pigs Alters Predator-Prey Dynamics Between Coyotes and White-tailed Deer,"Abstract: Predator-prey dynamics are shaped by numerous factors, including the distribution of resources and interactions with other species. Behaviors exhibited by prey to reduce interactions with competitors can influence the probability of encountering their predators. Invasive species can have substantial impacts on native food web dynamics, often altering species’ behavior and disrupting established predator-prey relationships. We examined how competition with invasive wild pigs (Sus scrofa) influenced white-tailed deer (Odocoileus virginianus) behavior, and subsequently interactions with coyotes (Canis latrans). During July – August 2024, we conducted an experiment in eastern Texas using passive and baited camera surveys to quantify how deer modified their diel activity in response to competition with pigs at areas with concentrated resources. At passive sites, without concentrated resources, deer-pig temporal overlap was high (Δ=0.896, CI=0.860 - 0.934). However, at baited sites with pig activity, deer decreased nocturnality and increased diurnal activity, resulting in lower temporal overlap with pigs (Δ=0.639, CI=0.559 - 0.718). This behavioral flexibility allowed deer to capitalize on important resources while minimizing competition. This response also had cascading effects on predator-prey interactions, potentially lowering predation risk for deer. Deer-coyote temporal overlap was significantly lower at baited sites with pig activity (Δ=0.474, CI=0.397 - 0.550) than at sites without pig activity (Δ=0.680, CI=0.571 - 0.788). Our findings suggest the behavior used to minimize competition also lowered predation risk; however, increased diurnal activity likely induced thermoregulatory costs. More broadly, our work demonstrates that prey behaviors induced by competition with invasive species can disrupt native predator-prey dynamics.",oral,Conservation & Ecology of Mammals I
